text,actual_sentiment,predicted_sentiment,positive_probability
"This film is beautiful to look at, but is like watching really bad experimental theater. The plot (if there was one) doesn't make any sense. But it is very ""artistic"". Lots of shots of half-dressed actors wrestling and looking deep into each other's eyes. Lots of arty shots through windows and with people out of frame. Mumbling and people wandering wistfully. Lingering close-ups of faces and bodies. By the time you get to the threesome on the roof with the cat, you'll be ready to throw a bottle of KY at the screen.<br /><br />It is supposed to be about a father and son's relationship, but you will just be wishing the two of them would just f*$& each other and get it over with. If you have always wanted to see bad Russian gay porn without any money shots, your wish has been granted.",Negative,Positive,0.9410633
"I agree with all the accolades, I went through a box of tissues watching this film. It had a gritty authenticity and rang true in every way.<br /><br />The question I'm about to raise represents a current sensibility regarding the treatment of animals. I had a very difficult time with the beginning slaughter of sheep and goats, and the dying deer with its pulsing neck and pooling blood as its life drained away was hideous.<br /><br />This is the age of ""no animals were hurt in the production of this move."" Iphigenia was made in the late 70's before the advent of computer simulation. Was it possible to fake these animal deaths? Or were these animals slaughtered for art?",Positive,Negative,0.19296798
"Well what I can say about this movie is that it's great to see so many Asian faces. What I didn't like about the film was that it was full of stereotypes of what typical racial characters would do in their role. The Asian girl without confidence who has to play someone else to get ahead, the white guy infatuated with Asian culture and chooses to leave his white world behind for the land of yellow and the ""keeping it real"" black cab driver. Plus all the coke, shanghai tang and dunkin donuts product placement was a bit too obvious. The story plot itself was fun but pretty much how I thought the story would unravel. Then again when watching romantic comedies you can't expect much but then again I would have been wanted to just be surprised at least once. The parents are the best part of the flick.",Negative,Positive,0.96499836
"When I was 11, Grease 2 was like crack. It was a classless, shameful, euphoric, and powerfully addictive experience. My sister and I would watch it, rewind it, and watch it over again and again and again until we passed out or became too confused and hostile to stand one another. So, if you are an 11-year old girl, and you reviewed this film as ""brilliant"" or ""fun"" or ""better than the original Grease,"" you have your fledgling adolescent hormones to blame and you can rest assured that this unyielding fixation with utter rubbish will pass.<br /><br />If, however, you are not a little girl, you have absolutely no excuse to suggest that Grease 2 was anything but an inane, artless, slipshod embarrassment for all who participated in its production, distribution, and/or consumption.<br /><br />For the sake of criticism, I will dignify the film now by explaining why it blows <br /><br />1. In a well-executed musical, the songs should advance the narrative or develop the characters. In Grease 2, with a few debatable exceptions, to the music is obscenely pointless. Most of the songs appear to relate gimped innuendo about sex in an excessive and general way (""Score Tonight,"" ""Reproduction,"" ""Do It For Our Country,"" and ""Prowlin'"") without making one concrete statement about any of the film's characters or themes. Plus, all of the music is uncomfortably stupid and no one in the cast demonstrates even the crudest semblance of an ability to sing or dance.<br /><br />2. The T-birds should be badass, and if not at least somewhat likable, but instead each of them is an annoying wussy-dufus-loser. In the end, when Johnny Nogerelli offers Michael the sacred T-bird jacket and initiates him into the gang, Michael should kick it to the ground, spit on it, and duck away to fervently scrub any part of his body that was touched by it. But of course, he accepts it as if it is gold because despite the fact that they are a bunch of bumbling meatheads, there is no greater honor than to be one with the T-birds. <br /><br />3. Since Michael is beautiful, smart, kind, resourceful, and above average in everyway (his musical impotence notwithstanding), it is feasible that Stephanie would ultimately embrace him when he reveals himself to be the man behind the mask. Stephanie, on the other hand, is a slovenly, slack-jawed, bubble gum smacking, dirty sweatshirt wearing, gracelessly rude and trashy dingbat. So aside from being pretty (I guess), she harbors no likable characteristics, thus, audiences are given no justification whatsoever for the depth of Michael's attraction to her.<br /><br />I could go on and on, but I didn't want to mention the gross inferiority to its predecessor since there are apparently so many cranks out there who seem to feel that such a comparison is unfair. I will say this though, to those of you who think you want to revisit this mess for old time's sake: Grease 2 is an experience akin to re-living your first kiss. Only you are 32 now and kissing a snot-nosed 13-year old kid with acne and slobby braces. The magic is gone and you are left feeling dirty and disturbed. Trust me.",Negative,Positive,0.55018526
"Well, I just discovered that there is a show more disgusting and shocking than ""Little Britain"" and I like it! ""The League of Gentlemen"" is a sick British comedy that is about the most awful, insane and disgusting small town in all the UK. This place makes Dibley and Craggy Island (from ""The Vicar of Dibley"" and ""Father Ted"") seem pretty normal!! The format of the show is a lot like LITTLE Britain except that all of it centers around the townspeople of this one hellish town. Both shows feature the same skits again and again every episode and some obviously inspired ""Little Britain"" (particularly the job seeking class skit). But the show differs because although it is crude like ""Little Britain"" (hence not a show for kids), the show has a sick and sadistic quality that sets it apart from all these shows. In particular, animal cruelty and serial killing are recurring themes throughout the show.<br /><br />Now if you haven't guessed, this is NOT a show for kids, the easily offended or normal people and that's probably why I liked it. However, you really do need very thick skin and a love of the awful to enjoy this to the max. Funny and incredibly irreverent beyond belief--you have to see it to believe it.",Positive,Negative,0.20607984
"This version is pretty insipid, I'm afraid. Jane Eyre is one of my favorite books and has been since childhood, but William Hurt's weary, throwaway acting style is completely unsuitable to the bold passion of Edward Rochester and poor Charlotte Gainsbrough looks like a bored, petulant teenager whose dental braces hurt! I also can't believe that they eliminated Edward's great marriage proposal scene from the end of the book, one of the most moving moments in literature. I do appreciate that they finally used such a young, plain woman to play Jane, a character who is supposed to be a worldly 18, but if you want to see a version that closer approximates the personalities and passions of the novel, please see the 70's version with George C. Scott and Susannah York. York was too old, tall and pretty to play Jane, but no one has touched Rochester's character the way that Scott did.",Negative,Positive,0.6445895
"WWE was in need of a saviour as Wrestlemania 14 rolled around. The departure of Bret Hart and subsequent evaporation of the Hart Foundation had left the Vile D-Generation X stable unchallenged in the WWE. Their despicable leader Shawn Michaels had stolen the title from Hart thanks to the interference of Vince McMahon and, with help from his cohorts Triple H and Chyna had systematically taken out anyone who challenged his supremacy. But at the Royal Rumble a new contender had emerged. Stone Cold Steve Austin. Hated by McMahonagement, Austin had DX worried. So worried in fact that they'd enlisted the help of ""The Baddest Man on the Planet"" Mike Tyson as a special enforcer. Austin would have the odds firmly against him in his title match with Shawn Michaels.<br /><br />But first, there was an undercard to get through which kicked off with the Legion of Doom winning a forgettable 15 team battle Royal to become NO.1 contenders for the tag titles. I'd actually forgotten this match existed until I rewatched the PPV. No very good and really highlighted the lack of depth in the tag division at that period in time.<br /><br />Next match saw the Light Heavyweight title defended by Champion Taka Michonoku against Aguila. The WWE had established the Light Heavyweight Title to compete with the strong Cruiserweight Division in WCW. It was not successful and this was the only time the title was ever defended at Wrestlemania. Short match, going about five minutes, and in fact too short for much to be achieved. What little they did was exciting and this was a nice little match which saw Taka retaining his title.<br /><br />OK, our next match saw DX member Triple H defending the WWE European title, which he'd won in farcical fashion from Shawn Michaels on RAW in December and hadn't defended on PPV, against Owen Hart, the Sole Survivor. Triple H got a big entrance with the DX band there to perform his theme song. Chyna accompanied Triple H to ringside, but was then handcuffed to WWE Commissioner Sgt Slaughter. Triple H and Owen have a nice little match, before Chyna interfered causing a low blow on Hart which leads to Triple H retaining the title. Good match, could have been great had it gone slightly longer.<br /><br />But of course we wouldn't want to take time away from our next match which saw real life husband and wife Marc Mero and Sable defeat Goldust and Luna Vachon in the first mixed tag match at Wrestlemania in 8 years. And, in all honesty, it wasn't worth the wait. While not terrible, the match was in no way memorable either. This was the nearing the end of Mero's only run in the WWE and the main purpose was to continue the disintegration of his relationship with Sable.<br /><br />Next up we saw Ken Shamrock flip out and cost himself the Intercontinental Championship as he destroyed IC Champion The Rock, but then refused to let go of his ankle lock submission hold, resulting in the referee reversing his decision. This was a short match, but decent for what it was.<br /><br />Next saw the first good match of the night as WWE Tag Team Champions the New Age Outlaws lost their titles to Cactus Jack and Chainsaw Charlie in a fun dumpster match. The decision was overturned the following night as Cactus and chainsaw had thrown the Outlaws into a dumpster backstage, rather than the one being used in the match, but this was still a fun match.<br /><br />NOw it was time for the highly anticipated first ever meeting between Kane and his brother the Undertaker. Kane had cost Undertaker the WWE Championship at the Royal Rumble and then ""killed"" him when he helped Shawn Michaels lock Undertaker in a casket and set him on fire as revenge for the Undertaker burning down their parents house and leaving him horribly disfigured years before. This was a decent match and told a nice story as the Underataker absorbed everything Kane could throw at him and then knocked him out with three tombstones to end the match.<br /><br />This left only the main event which saw WWE Champion face Steve Austin with Mike Tyson as the guest enforcer. Michaels had suffered a debilitating back injury in his match with the Undertaker at the Royal Rumble and was remarkable in this match despite his physical limitations. Triple H and Chyna were banished to the back in the early going after interfering from the outside. The match ended with Austin ducking an attempt at Sweet Chin Music and hitting the Stone Cold Stunner with the ref down. TYson then came into the ring to count the three, celebrating the win with Austin and then knocking out Michaels after the match. It turned out Tyson and Austin were together and the cat had been playing with the mouse all along.<br /><br />That was the final PPV match for Shawn Michaels for four and a half years. It helped establish Austin as the biggest star in the wrestling business and the mainstream publicity garnered by Tyson's appearance proved a crucial turning point in the WWE's battle with WCW. Austin would go on to become the biggest star in WWE History, and along with the Rock, Mick Foley, the Undertaker and Triple H lead the WWE through the period where they would gain their highest level of cultural relevance. And it all started here at Wrestlemania 14.",Positive,Negative,0.10500962
"What an overlooked 80's soundtrack. I imagine John Travolta sang some of the songs but in watching the movie it did seem to personify everything that was 80s cheese. Clearly movies that rely on mechanical bulls, bartenders and immature relationships were in style. The best was his lousy Texas accent. Compare that to Friday Night Lights.I suggest watching Cocktail and Stir Crazy to start really getting into the dumbing down of film. Also, as a side note Made in America with Ted Danson and Whoopie Goldberg is an awesomely bad movie. I was so shocked to realize I had never watched it. One more weird movie of this genre would have to include Cadilac Man with Robin Williams. Just remember all of these BIG stars played big roles in these CHEESY movies.. Tom Cruise, Richard Pryor, Robin Williams and John Travolta",Positive,Negative,0.029769154
"Robert Culp (they call his character ""doctor""...I think he's a vet or something) and family move to an affluent, low-tax, zero-law-enforcement suburb. Lantern-jawed Culp and his dog are nearly killed when some local idiot neighbor kids get drunk and ""go cruising"" through his front yard at 60mph. He presses charges, which arouses the kids' ire, and suddenly him and his family are the victims of a violent and disturbing prank campaign.<br /><br />Marilyn Manson, er, Marlyn Mason rather, plays his fretful, boiled-celery wife, who urges him not to use violence against his sneering nemeses, and who really just wants to move somewhere with decent public services. But The System is getting Culp nowhere, and he's not about to leave his house because of some punk kids and their crazy rock and roll music. And we all know what movie people do when The System fails...(but this is based on a true story, which makes it even better).<br /><br />It should be noted that while the villainous hooligans do have convenient '70s funk-o-matic ""teenage"" theme music that warns us when they're up to no good, this film actually ends up treating the age brackets even-handedly (really!). It doesn't make a big generational thing out of it. Kudos for that.<br /><br />Anyway, if you like dogs (or at least believe in protecting their civil rights, like me), and you like justice, and you like fire, and you like justice for dogs by way of fire, and you think people who skitter nervously out of troubled communities are ""too damn soft,"" then this flick's ethos is up your alley. No, it's not really ""good,"" at least not in any widely recognized sense of the word. There's nothing subtle or understated or clever about it, it's just sort of a feature-length PSA for vigilantism. It does, however, capture the feeling of some memorable scenes in other, beloved works. Remember in Frank Miller's The Dark Knight Returns when Batman leads the Mutants on horseback to reclaim Gotham City? Remember that scene in A Christmas Story where the kid pounds the bully's face in? Remember how cool that was? Or do you just really hate being looked at funny by your neighbors? Yeah, mon.<br /><br />Unfortunately, this was a 1973 made-for-TV movie that I just happened to catch at 4am on my local WB affiliate, and it's probably not destined for DVD release. But after being inspired by this film, do you think I'm gonna just sit here and take it!?!",Positive,Negative,0.062351126
"Sadly, the print of the film we were going to watch burned in the fire at Universal Studios last week, so we were stuck with video. That could even be a metaphor for this second-rate King Kong movie from Toho studios' stalwart director Ishiro Honda. Essentially it's a warm up for ""King Kong versus Godzilla"". It even uses the idea of a Mecha-Kong, like Mecha-Godzilla. Of course the movie climaxes with King Kong fighting Mecha-Kong on top of the expo tower in Tokyo, but if you didn't know that already then maybe you're in the age group that this movie was intended for.<br /><br />The cast is headed by a guy named Rhodes Reason who we had never heard of... glancing over his list I see mostly a lot of scattered American TV credits, so it's interesting that they dragged him all the way to Japan so that they could have a nominal American hero. The real hero of the movie is the more sensitive Japanese commander played by Akira Takarada, who I recognized from Hiroshi Inagaki's iconic version of ""Chushingura"" (47 Ronin) and also from the original Godzilla films by Honda. I'm sorry Rhodes Reason whoever you are, but this guy has way more screen presence and you can bet that everyone wants him to end up with the cute little blonde, played by Linda Miller. We laughed at the way Reason would always find a way to interject himself between Miller and Takarada, who it seemed like she kind of preferred. Of course like all Kong leading ladies her primary relationship is with the King himself. She discovers a nice trick: if you talk to a giant ape really..... really.... slowly..... he'll understand what you're saying. And if you're a blonde gal, that means that he'll do whatever you tell him to do. That fact is not lost on Dr. Who (Eisei Amamoto) and Madame Piranha (Mie Hama) -- representing a ""nation which shall not be named"" -- who plan on using her as bait to get Kong to dig up mineral deposits that are trapped at the North Pole.<br /><br />Yes, this is truly the plot of the whole movie -- apparently only a giant ape is going to be capable of digging out these minerals which can be used to make super powerful weapons. Dr. Who builds Mecha-Kong to get it but the circuitry gets in the way, so they decide to go for the real Kong. Kong himself seems momentarily infatuated with Mecha-Kong, a story element that might have made the film more interesting but wasn't followed up on.<br /><br />By the end of the movie, the cute blonde has shouted ""Kong"" or ""King Kong"" in her chirpy voice so many times that when the two heroes tell her to let him go at the end they're speaking for all of us. Basically this movie squanders whatever majesty was possible in the Kong character by making him a heroic and friendly figure much too early, just like the newest version of the story. Kong is just a guy in a suit in this movie, and they show quite a lot of him to the point where the goofy face becomes impossible to take seriously. It's a nice looking movie, I'm sure it satisfies the demands or desires of fans of this type of thing, which is really more of a wrestling film than a monster film in a lot of ways. The monsters don't ever really scare in these films, they just jump around and push each other around a lot. It's not a worthless movie, but it's extremely predictable and formulaic so for anyone under the age of 10 or so it probably will only be entertaining as comedy.",Negative,Positive,0.82027483
