text,actual_sentiment,predicted_sentiment
"Well what I can say about this movie is that it's great to see so many Asian faces. What I didn't like about the film was that it was full of stereotypes of what typical racial characters would do in their role. The Asian girl without confidence who has to play someone else to get ahead, the white guy infatuated with Asian culture and chooses to leave his white world behind for the land of yellow and the ""keeping it real"" black cab driver. Plus all the coke, shanghai tang and dunkin donuts product placement was a bit too obvious. The story plot itself was fun but pretty much how I thought the story would unravel. Then again when watching romantic comedies you can't expect much but then again I would have been wanted to just be surprised at least once. The parents are the best part of the flick.",Negative,Positive
"This is one of the worst B slashers I've ever seen in my life. The ending is something you have to see to believe.<br /><br />The movie starts with Harry Standing and Phillip Standing sitting on the stairs with their mother watching their father come down the chimney while dressed in a Santa suit. He puts the presents under the tree, eats the cookies and milk and then goes back up the chimney. Phillip goes to bed but Harry comes down only to find his father dressed in a Santa suit sexually pleasuring his mother. Then, Harry goes up stairs, smashes a snow globe, grabs a shard of glass, and cuts himself.<br /><br />Then you move on to the present. You see Harry. He is a lonely man who sleeps in a Santa suit and watches little kids through a pair of binoculars. He has two books. One book for good kids and the other for bad kids. He writes down everything they do in these books. The guy is a creep. He also works at the Jolly Dream toy factory. His brother Phillip has a family and two kids and lives in a nice house.<br /><br />When Harry finds out that his boss only cares about profits, he goes and collects all the toys and delivers them to a few kids. Then, he travels to a church and kills 4 people. Then he goes to another house and puts presents under the tree. The kids catch him but they go back to bed. So, Harry goes to the bedroom and kills the father and leaves.<br /><br />As he is walking towards a house, a bunch of kids spot him and run up to him. The parent's are nervous and try to get their kids to come back to them so they don't get hurt. How do they know that Harry is the killer? Sure, you have to be suspicious because you never know who it could be. Harry gives the kids presents and the father pulls out a switch blade in an attempt to stab him in front of the kids.<br /><br />When Harry runs off, the townsfolk light torches and follow him to kill him. They don't even know that he is the killer. When Harry reaches his brother's house, his his brother and him have a little talk and Phillip strangles him. He only loses consciousness. Phillip loads Harry back into his van. When Harry wakes up, he takes off.<br /><br />The ending is something I could not believe. Once again, you'll have to see it to believe it.<br /><br />One thing that bugged me was the black Santa. That's right, the man in the Santa suit they saw was a white man. So why did they bring in a black man?<br /><br />Skip this and see Silent Night Deadly Night and Santa's Slay. You'll get your money's worth seeing those two films. They are better than this pile of garbage! I give this movie 1 star out of 10. Wish I could give it 0 stars cause that is what this movie deserves.",Negative,Positive
"What an overlooked 80's soundtrack. I imagine John Travolta sang some of the songs but in watching the movie it did seem to personify everything that was 80s cheese. Clearly movies that rely on mechanical bulls, bartenders and immature relationships were in style. The best was his lousy Texas accent. Compare that to Friday Night Lights.I suggest watching Cocktail and Stir Crazy to start really getting into the dumbing down of film. Also, as a side note Made in America with Ted Danson and Whoopie Goldberg is an awesomely bad movie. I was so shocked to realize I had never watched it. One more weird movie of this genre would have to include Cadilac Man with Robin Williams. Just remember all of these BIG stars played big roles in these CHEESY movies.. Tom Cruise, Richard Pryor, Robin Williams and John Travolta",Positive,Negative
"This only gets bashed because it stars David Hasselhoff. Well, then let me bash it to. Compared to the garbage they call horror coming out nowadays, this film isn't too bad. It has the beautiful Leslie Cumming. She is super hot, but can't talk very well. There is a great scene with her when she is supernaturally raped. She shows off her nice body. Linda Blair does nothing here as well as Hasselhoff. 3/10",Negative,Positive
"Robert Culp (they call his character ""doctor""...I think he's a vet or something) and family move to an affluent, low-tax, zero-law-enforcement suburb. Lantern-jawed Culp and his dog are nearly killed when some local idiot neighbor kids get drunk and ""go cruising"" through his front yard at 60mph. He presses charges, which arouses the kids' ire, and suddenly him and his family are the victims of a violent and disturbing prank campaign.<br /><br />Marilyn Manson, er, Marlyn Mason rather, plays his fretful, boiled-celery wife, who urges him not to use violence against his sneering nemeses, and who really just wants to move somewhere with decent public services. But The System is getting Culp nowhere, and he's not about to leave his house because of some punk kids and their crazy rock and roll music. And we all know what movie people do when The System fails...(but this is based on a true story, which makes it even better).<br /><br />It should be noted that while the villainous hooligans do have convenient '70s funk-o-matic ""teenage"" theme music that warns us when they're up to no good, this film actually ends up treating the age brackets even-handedly (really!). It doesn't make a big generational thing out of it. Kudos for that.<br /><br />Anyway, if you like dogs (or at least believe in protecting their civil rights, like me), and you like justice, and you like fire, and you like justice for dogs by way of fire, and you think people who skitter nervously out of troubled communities are ""too damn soft,"" then this flick's ethos is up your alley. No, it's not really ""good,"" at least not in any widely recognized sense of the word. There's nothing subtle or understated or clever about it, it's just sort of a feature-length PSA for vigilantism. It does, however, capture the feeling of some memorable scenes in other, beloved works. Remember in Frank Miller's The Dark Knight Returns when Batman leads the Mutants on horseback to reclaim Gotham City? Remember that scene in A Christmas Story where the kid pounds the bully's face in? Remember how cool that was? Or do you just really hate being looked at funny by your neighbors? Yeah, mon.<br /><br />Unfortunately, this was a 1973 made-for-TV movie that I just happened to catch at 4am on my local WB affiliate, and it's probably not destined for DVD release. But after being inspired by this film, do you think I'm gonna just sit here and take it!?!",Positive,Negative
"**************Possible spoilers********** There is only one reason why I saw this movie and that was because I have a massive crush on Richard Belzer.(I don't know that much about humor) There were some part that were funny Like the Barbie and Ken Spoof and the dealers and the president skit. Mind you this is sometimes raunchy(Dare, I say crude?) It was at times funny, but it could have been better. Probably if they spent more time in the humor and less time getting women undress, the movie would had been funnier. Some skits just make you want to gag, and cringe, others skits make you laugh and oddly enough think. Sadly this movie is dated. If you have a mad crush on Richard Belzer(So worth it) it's worth checking it out and seeing chevy chase.",Positive,Negative
"I still haven't gotten to see all of this; it's running on cable right now, and I seem to keep coming in on the middle of it. My main reason for being interested in it is that I'm a Bill Paxton fan; he's a pretty good actor, and has turned in consistently good work over the course of his career.<br /><br />The other thing is that, while never really a fan of the old series, I kinda liked Thunderbirds for the ships and effect work. Derek Meddings was quite possibly the best in the business during the sixties and seventies, and his designs for the International Rescue craft are wonderful. The current team has done a fine job of translating his work to the big screen.<br /><br />BUT...<br /><br />This is one lame story. The kids are asked to drive it, and while they do an okay job, it's hard to suspend your disbelief, especially when you have Brains' eight-year-old son flying T2, an enormous multi-ton transport with all the aerodynamics of a Buick. Everywhere you look, you see a Ford logo. Product placement is way over the top here, and it's annoying. Ben Kingsley does an good job as The Hood, but he can only do so much with a one-dimensional role. If you can accept the film on its very slim merits, Thunderbirds is a fun, enjoyable ride. Just don't look too closely at the machinery that drives it.<br /><br />ADDENDUM: I finally got to see all of this, and it's worse than I thought. The acting is fairly uniformly poor, and while the effects are fairly good, the story on multiple viewings has gotten cheesier. The overdone product placement for Ford is annoying, and the kids as central characters grate on my remaining nerves. As with The Avengers, if you ignore the source material, it's bearable. But not very. Watch the original show, and you'll see what I mean.<br /><br />And a word of advice to Jon Frakes. Take a refresher course at the Director's Guild. You can do better than this, old friend.<br /><br />Another footnote...<br /><br />I saw this again. Last night. On Telemundo. Dubbed in Spanish, with cheesy comedy sound effects. And yes, I came in roughly in the middle, with Ben, Ron and Sophia in their fight scene on Tracy Island. <br /><br />I didn't think it was possible for an already lame movie to be worse, but it was. It was embarrassingly bad. <br /><br />If this had been done straight, no kids-to-the-rescue, no tongue-in-cheek jokes, it might have worked. As it is, it's just another beloved childhood joy that's been ruined.",Negative,Positive
"I have seen my fair share of comedy and standup movies but this one is so original, so fresh, it will make you wonder why you always walked right pass it in the video store. Murphy has some pretty raunchy jokes but this is just too funny to pass. If only every movie could be this funny. it should be called ""107 minutes of the most incredible comedy"" Murphy is a comic genius in this film and will make you say ""this is the guy that did dr. doulittle!"" He talkes about the ice cream man, shoe throwing mothers, his aunt with a mustache, racism, and everything else you could possibly think of and the ones you couldnt. Please if you ever see one comedy in your life this is it, if only all movies could be Delirious.",Positive,Negative
"Sure, if you ask any mom who's the most beautiful baby in the world, she'd tell you her son is the most amazing kid in the whole world. She's right, at least in her own world.<br /><br />The producers of the movie were biggie's mother and his good friend Puffy. Oh, well, do I need to say more? I'll break it down for those who doesn't want to do a simple deduction.<br /><br />The whole movie was fake. You may just put a few biggie's MTV video together and call it a movie.<br /><br />The beautiful Angela Bassett played Biggie's mother. The real one in life looks like a dog.<br /><br />I just wonder why he called himself biggie small. Big body Small dick? Big mouth Small sound? Big fat Small eyes? Disclaimer: I'm a person of color. So keep your racist remark to yourself.",Negative,Positive
"1937's ""Stella Dallas"" with Barbara Stanwyck hasn't exactly aged well--how anyone thought a semi-updated version of the story would work now is a real puzzler. Perhaps they thought jaunty, cheerfully brash Bette Midler could make something out of it, but this hoary script defeats her. Plot about a female bartender having a baby out of wedlock, and years later giving the young girl over to the child's wealthy father so she'll have a shot at a better life, can't escape tatty, old-fashioned trappings and sentiment. Midler works best with a movie director who can control her excesses, but that fails to happen here; Stephen Collins is stolid as the man who changes her life, but Trini Alvarado is well-cast as Midler's daughter. This is what used to be referred to as a ""woman's picture"", a wallow, but it doesn't pass muster because it stays too faithful to its 1930's origins. *1/2 from ****",Negative,Positive
